City_ID,City,Country,Max Temp,Cloudiness,Lat,Lng,Hotel Name
256,Port Blair,IN,78.03,18,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
257,Samarai,PG,85.23,100,-10.6167,150.6667,Nuli Sapi
264,Berbera,SO,75.63,98,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
266,La Primavera,CO,89.2,91,5.4906,-70.4092,La Riviera Hotel Colonial
267,Itarema,BR,79.72,42,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
277,Antalaha,MG,75.33,97,-14.9003,50.2788,Hotel Vitasoa
286,Acajutla,SV,82.8,26,13.5928,-89.8275,Laureles
301,Soure,BR,76.95,100,-0.7167,-48.5233,Casarão da Amazônia
306,Guasdualito,VE,86.0,28,7.2424,-70.7324,Hotel Cuibas
307,Banfora,BF,76.98,0,10.6333,-4.7667,Residences David Hebié
309,Hobyo,SO,76.1,78,5.3505,48.5268,Halane Hotel and Restaurent
311,Belmonte,BR,79.3,22,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
316,Seguela,CI,75.85,3,7.9611,-6.6731,Hotel le Carrefour
317,Kailua,US,84.18,21,21.4022,-157.7394,Sheffield House Bed & Breakfast
321,Karratha,AU,86.29,28,-20.7377,116.8463,ibis Styles Karratha
322,Parkes,AU,76.35,0,-33.1333,148.1833,Station Motel
324,Santa Cruz,BO,76.17,100,-17.8,-63.1667,Aviador Hotel Boutique
329,Bambanglipuro,ID,77.4,100,-7.95,110.2833,Puri Brata
330,Santa Marta,CO,79.34,4,11.2408,-74.199,Casa de Isabella
332,Alvaraes,BR,80.47,80,-3.2208,-64.8042,Av. Castelo Branco. Ginásio Ermelino vieira.
334,Sao Jose Da Coroa Grande,BR,79.5,46,-8.8978,-35.1478,Crôa Mares Hotel
343,Kampot,KH,75.25,93,10.6167,104.1833,Two Moons Hotel
344,Souillac,MU,79.18,40,-20.5167,57.5167,Shanti Maurice Resort & Spa
350,San Juan,AR,78.39,0,-31.5375,-68.5364,Hotel Provincial
356,Cayenne,GF,80.1,100,4.9333,-52.3333,Hôtel Le Dronmi
358,Ewa Beach,US,84.15,20,21.3156,-158.0072,Uncle Junior Robert
360,Kavieng,PG,83.43,45,-2.5744,150.7967,Nusa Island Retreat
361,Alofi,NU,80.49,100,-19.0595,-169.9187,Taloa Heights
365,Morondava,MG,81.0,100,-20.2833,44.2833,La Case Bambou
366,Male,MV,80.83,54,4.1748,73.5089,Hotel Octave Maldives
373,Bathsheba,BB,79.41,75,13.2167,-59.5167,Atlantis Hotel
377,San Pedro,PH,78.03,75,14.35,121.0167,Villa Veronica Resort Private Pool
383,Sweetwater,US,75.22,20,25.7634,-80.3731,Li'l Abner Mobile Home Park
389,Gigmoto,PH,77.86,90,13.7796,124.39,Cj's Travellers Inn
393,Makakilo City,US,82.72,20,21.3469,-158.0858,Marriott's Ko Olina Beach Club
